date,power_consumption
1/1/2017 0:00,34055.6962
1/1/2017 0:10,29814.68354
1/1/2017 0:20,29128.10127
1/1/2017 0:30,28228.86076
1/1/2017 0:40,27335.6962
1/1/2017 0:50,26624.81013
1/1/2017 1:00,25998.98734
1/1/2017 1:10,25446.07595
1/1/2017 1:20,24777.72152
1/1/2017 1:30,24279.49367
1/1/2017 1:40,23896.70886
1/1/2017 1:50,23544.3038
1/1/2017 2:00,23003.5443
1/1/2017 2:10,22329.11392
1/1/2017 2:20,22092.1519
1/1/2017 2:30,21903.79747
1/1/2017 2:40,21685.06329
1/1/2017 2:50,21484.55696
1/1/2017 3:00,21107.8481
1/1/2017 3:10,20998.48101
1/1/2017 3:20,20870.88608
1/1/2017 3:30,20870.88608
1/1/2017 3:40,20597.46835
1/1/2017 3:50,20421.26582
1/1/2017 4:00,20524.55696
1/1/2017 4:10,20482.02532
1/1/2017 4:20,20530.63291
1/1/2017 4:30,20512.40506
1/1/2017 4:40,20494.17722
1/1/2017 4:50,20311.89873
1/1/2017 5:00,20542.78481
1/1/2017 5:10,20621.77215
1/1/2017 5:20,20627.8481
1/1/2017 5:30,20797.97468
1/1/2017 5:40,20858.73418
1/1/2017 5:50,21393.41772
1/1/2017 6:00,22219.74684
1/1/2017 6:10,21928.10127
1/1/2017 6:20,21776.20253
1/1/2017 6:30,21654.68354
1/1/2017 6:40,21466.32911
1/1/2017 6:50,20846.58228
1/1/2017 7:00,19983.79747
1/1/2017 7:10,18908.35443
1/1/2017 7:20,18167.08861
1/1/2017 7:30,18075.94937
1/1/2017 7:40,18063.79747
1/1/2017 7:50,18045.56962
1/1/2017 8:00,18385.82278
1/1/2017 8:10,18987.34177
1/1/2017 8:20,19576.70886
1/1/2017 8:30,19837.97468
1/1/2017 8:40,20166.07595
1/1/2017 8:50,20676.4557
1/1/2017 9:00,21296.20253
1/1/2017 9:10,22043.5443
1/1/2017 9:20,22651.13924
1/1/2017 9:30,23131.13924
1/1/2017 9:40,23641.51899
1/1/2017 9:50,24668.35443
1/1/2017 10:00,25275.94937
1/1/2017 10:10,25920.0
1/1/2017 10:20,26393.92405
1/1/2017 10:30,26861.77215
1/1/2017 10:40,27511.89873
1/1/2017 10:50,28149.87342
1/1/2017 11:00,28714.93671
1/1/2017 11:10,29043.03797
1/1/2017 11:20,29261.77215
1/1/2017 11:30,29474.43038
1/1/2017 11:40,29523.03797
1/1/2017 11:50,29711.39241
1/1/2017 12:00,29644.55696
1/1/2017 12:10,29802.53165
1/1/2017 12:20,29887.59494
1/1/2017 12:30,30039.49367
1/1/2017 12:40,29966.58228
1/1/2017 12:50,29996.96203
1/1/2017 13:00,30258.22785
1/1/2017 13:10,30404.05063
1/1/2017 13:20,30094.17722
1/1/2017 13:30,30161.01266
1/1/2017 13:40,30318.98734
1/1/2017 13:50,30154.93671
1/1/2017 14:00,29984.81013
1/1/2017 14:10,30021.26582
1/1/2017 14:20,30021.26582
1/1/2017 14:30,29911.89873
1/1/2017 14:40,29747.8481
1/1/2017 14:50,29705.31646
1/1/2017 15:00,29571.64557
1/1/2017 15:10,29553.41772
1/1/2017 15:20,29383.29114
1/1/2017 15:30,29061.26582
1/1/2017 15:40,28885.06329
1/1/2017 15:50,28854.68354
1/1/2017 16:00,28836.4557
1/1/2017 16:10,28708.86076
1/1/2017 16:20,28556.96203
1/1/2017 16:30,28514.43038
1/1/2017 16:40,28666.32911
1/1/2017 16:50,29097.72152
1/1/2017 17:00,29723.5443
1/1/2017 17:10,30871.89873
1/1/2017 17:20,32700.75949
1/1/2017 17:30,35793.41772
1/1/2017 17:40,38321.01266
1/1/2017 17:50,39129.11392
1/1/2017 18:00,39560.50633
1/1/2017 18:10,39517.97468
1/1/2017 18:20,39596.96203
1/1/2017 18:30,39469.36709
1/1/2017 18:40,39682.02532
1/1/2017 18:50,39888.60759
1/1/2017 19:00,39991.89873
1/1/2017 19:10,40210.63291
1/1/2017 19:20,40216.70886
1/1/2017 19:30,40435.44304
1/1/2017 19:40,40514.43038
1/1/2017 19:50,40544.81013
1/1/2017 20:00,40283.5443
1/1/2017 20:10,40216.70886
1/1/2017 20:20,40477.97468
1/1/2017 20:30,40611.64557
1/1/2017 20:40,40435.44304
1/1/2017 20:50,40204.55696
1/1/2017 21:00,39584.81013
1/1/2017 21:10,39274.93671
1/1/2017 21:20,39141.26582
1/1/2017 21:30,38643.03797
1/1/2017 21:40,38011.13924
1/1/2017 21:50,37622.27848
1/1/2017 22:00,36953.92405
1/1/2017 22:10,36394.93671
1/1/2017 22:20,35289.11392
1/1/2017 22:30,34438.48101
1/1/2017 22:40,33678.98734
1/1/2017 22:50,33077.46835
1/1/2017 23:00,32117.46835
1/1/2017 23:10,31357.97468
1/1/2017 23:20,30701.77215
1/1/2017 23:30,29681.01266
1/1/2017 23:40,28830.37975
1/1/2017 23:50,27748.86076
1/2/2017 0:00,26703.79747
1/2/2017 0:10,26169.11392
1/2/2017 0:20,25622.27848
1/2/2017 0:30,24972.1519
1/2/2017 0:40,24437.46835
1/2/2017 0:50,23914.93671
1/2/2017 1:00,23629.36709
1/2/2017 1:10,23118.98734
1/2/2017 1:20,22736.20253
1/2/2017 1:30,22049.62025
1/2/2017 1:40,21855.18987
1/2/2017 1:50,21685.06329
1/2/2017 2:00,21533.16456
1/2/2017 2:10,21107.8481
1/2/2017 2:20,20986.32911
1/2/2017 2:30,20725.06329
1/2/2017 2:40,20889.11392
1/2/2017 2:50,20433.41772
1/2/2017 3:00,20372.65823
1/2/2017 3:10,20135.6962
1/2/2017 3:20,20129.62025
1/2/2017 3:30,20117.46835
1/2/2017 3:40,20087.08861
1/2/2017 3:50,19740.75949
1/2/2017 4:00,19831.89873
1/2/2017 4:10,19989.87342
1/2/2017 4:20,20166.07595
1/2/2017 4:30,20214.68354
1/2/2017 4:40,20141.77215
1/2/2017 4:50,20056.70886
1/2/2017 5:00,20257.21519
1/2/2017 5:10,20500.25316
1/2/2017 5:20,20712.91139
1/2/2017 5:30,20810.12658
1/2/2017 5:40,21041.01266
1/2/2017 5:50,21709.36709
1/2/2017 6:00,22742.27848
1/2/2017 6:10,22948.86076
1/2/2017 6:20,23258.73418
1/2/2017 6:30,23471.39241
1/2/2017 6:40,23653.67089
1/2/2017 6:50,23769.11392
1/2/2017 7:00,23380.25316
1/2/2017 7:10,23033.92405
1/2/2017 7:20,22803.03797
1/2/2017 7:30,23082.53165
1/2/2017 7:40,22803.03797
1/2/2017 7:50,22268.35443
1/2/2017 8:00,22742.27848
1/2/2017 8:10,23526.07595
1/2/2017 8:20,24340.25316
1/2/2017 8:30,24881.01266
1/2/2017 8:40,25190.88608
1/2/2017 8:50,25531.13924
1/2/2017 9:00,25980.75949
1/2/2017 9:10,23495.6962
1/2/2017 9:20,23629.36709
1/2/2017 9:30,24006.07595
1/2/2017 9:40,24771.64557
1/2/2017 9:50,25148.35443
1/2/2017 10:00,25518.98734
1/2/2017 10:10,25695.18987
1/2/2017 10:20,26351.39241
1/2/2017 10:30,26667.34177
1/2/2017 10:40,26794.93671
1/2/2017 10:50,27281.01266
1/2/2017 11:00,27645.56962
1/2/2017 11:10,27773.16456
1/2/2017 11:20,27894.68354
1/2/2017 11:30,28532.65823
1/2/2017 11:40,28818.22785
1/2/2017 11:50,28684.55696
1/2/2017 12:00,28939.74684
1/2/2017 12:10,29152.40506
1/2/2017 12:20,29674.93671
1/2/2017 12:30,29826.83544
1/2/2017 12:40,29905.82278
1/2/2017 12:50,29990.88608
1/2/2017 13:00,29966.58228
1/2/2017 13:10,29881.51899
1/2/2017 13:20,29760.0
1/2/2017 13:30,29292.1519
1/2/2017 13:40,29140.25316
1/2/2017 13:50,28872.91139
